id,title,authors,abstract,year,keywords,citations
1,"Efficient Distributed Inference for Edge AI","Santiago Machado; Yu Li","We propose a hybrid partitioning approach for neural nets where layers are dynamically allocated between edge nodes and cloud to maximize throughput and minimize latency. Benchmarked on IoT workloads and drone video feeds.",2024,"AI;Edge Computing;Distributed Systems;Inference",42
2,"Go-Based Services for Real-Time Search","Priya Kumar; S. Machado","A scalable search service leveraging Go concurrency, lock-free LSM-trees, SSD snapshots, and gRPC. Demonstrates sustained 50k QPS, sub-100ms cold-starts for live index workloads.",2023,"Go;Search;Microservices;LSM-Tree;gRPC",37
3,"Reinforcement Learning for Portfolio Optimization","James Smith; Alina Lee","Deep RL agents using PPO optimize risk and return across diverse portfolios. Baselines include Markowitz and lstm-augmented heuristic allocation.",2022,"Reinforcement Learning;Finance;Deep RL;Portfolio",29
4,"Scaling AI Agents in Microservice Meshes","Helena Ivanova; S. Machado","Describes deployment, scaling, monitoring for LLM-based agents using Go/Kubernetes, focusing on dynamic memory adaptation and agent restart safety.",2024,"AI Agents;Go;Kubernetes;Microservices",15
5,"Automated ETL from PDFs Using Transform-based Models","Miguel Tan; Ada Jin","Presents an ETL lifecycle using transformers for PDF parsing, automatic text clean-up, and rapid indexed search with Go indexer for financial document ingestion.",2024,"ETL;PDF;Transformers;Golang;Full-Text Index",18
6,"On-the-fly Type Inference for Python Refactoring","R. Sato; S. Machado","A real-time static analysis framework for discovering refactoring opportunities and type errors at edit time in Python codebases of 100k+ lines.",2021,"Python;Type Inference;Refactoring;Static Analysis",23
7,"Semantic Search with Hybrid Embeddings","I. Fang; C. Andrews","Showcases a search pipeline blending BM25, dense embeddings, and entity linking for complex technical document retrieval.",2023,"Search;Embeddings;Entities;BM25",13
8,"Resilient Streaming Analytics at Scale","G. Vasquez; P. Young","Explores high-volume event ingestion and fault-tolerant windowed analytics, implemented in Go and Python, deployed on managed Kubernetes.",2022,"Streaming;Analytics;Fault Tolerance;Kubernetes;Go;Python",27
9,"Towards Explainable AI Reports in PDF","Emma Wilson; J. Parker","Method for generating user-centric PDF output with ML result summaries, decision attributions, and interactive annotation layers.",2024,"Explainable AI;Reporting;PDF;ML",7
10,"Robust QA Over Noisy Medical Texts","K. Shah; G. Kwon","Studies transformer QA system that handles OCR noise, misspellings, and fragmented clinical narratives in PDF, JSON, and scanned csv intake.",2022,"NLP;QA;OCR;Medical",16
11,"Composable Vector Search in Go","D. Queen; F. Lin","Presents a modular Go library for hybrid (keyword and vector) search, evaluating recall and ranking on large QA and news datasets.",2023,"Go;Search;Vectors;Hybrid Indexing",21
12,"Zero-Downtime DB Migrations via Go Tasks","Juan Montoya; S. Machado","Report on engineered blue/green deployment strategy using Go pipeline for schema migrations in transactional API backends.",2022,"Go;Database;Migration;API",12
13,"LLM Chatbot Red Teaming at Scale","Shu Zhang; R. Lopez","Describes systematic adversarial testing of LLM chatbots deployed in finance, including prompt injection and bias detection workflows.",2024,"LLM;Chatbot;Security;Red Team",18
14,"Parallel Log Indexing with Go Fibers","Anya Kim; S. Torrez","Demonstrates fast log indexing and search using Go fibers (lightweight threads) versus baseline goroutines.",2023,"Go;Logs;Concurrency;Fiber",9
15,"Temporal Graph Analytics for Fraud","W. Chen; S. Machado","Temporal graph model and query engine identifying fraudulent entity clusters in banking data streams.",2023,"Graph Analytics;Fraud Detection;Banking",17
16,"Stateless Microservice Monitoring with Metrics API","S. Stevens; Y. Li","Unifies stats and health-check export for Python, Go, and Node.js services using a gRPC metrics API.",2023,"Microservices;Monitoring;API;gRPC",14
17,"Pretraining Large Language Models in the Cloud","A. Naderi; G. Vasquez","Hybrid on-prem/cloud distributed training of GPT-style models. Includes S3, GCS, and BlobFS support.",2024,"LLM;Cloud;Pretraining;Storage",22
18,"Language Model Benchmark Automation","Kelvin Meyers; L. Lin","Pipeline for benchmarking open and closed LLMs (GPT, LLaMA, Claude), with error annotation and runtime comparison.",2023,"LLM;Benchmark;Automation;Error Analysis",12
19,"Multi-modal Document Indexers","Ada Jin; L. Hwang","Examines search on mixed PDF/Image/CSV datasets, comparing traditional and transformer OCR-based strategies for digital library retrieval.",2023,"Multi-modal;OCR;Search;PDF",18
20,"Event Stream Analytics with Time-Series Indexes","E. Rojas; S. Rezaei","Evaluates time-series indexing algorithms in Go for real-time analytics over IoT event data and Kafka streams.",2021,"Time-Series;Analytics;Go;IoT;Kafka",20
21,"Go-GPU Interop for Deep Learning","F. Diaz; J. Wong","Overview and performance report for Go-native GPU interop (cuDNN) in automated deep learning pipelines.",2024,"Go;GPU;Deep Learning;cuDNN",15
