id,content,topic
1,"registro 1 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 1","bulk"
2,"registro 2 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 2","bulk"
3,"registro 3 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 3","bulk"
4,"registro 4 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 4","bulk"
5,"registro 5 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 5","bulk"
6,"registro 6 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 6","bulk"
7,"registro 7 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 7","bulk"
8,"registro 8 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 8","bulk"
9,"registro 9 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 9","bulk"
10,"registro 10 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 10","bulk"
11,"registro 11 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 11","bulk"
12,"registro 12 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 12","bulk"
13,"registro 13 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 13","bulk"
14,"registro 14 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 14","bulk"
15,"registro 15 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 15","bulk"
16,"registro 16 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 16","bulk"
17,"registro 17 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 17","bulk"
18,"registro 18 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 18","bulk"
19,"registro 19 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 19","bulk"
20,"registro 20 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 20","bulk"
21,"registro 21 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 21","bulk"
22,"registro 22 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 22","bulk"
23,"registro 23 introduccion sidecar memtable sparse index arquitectura hexagonal busqueda and token 23","bulk"
